演唱会名称,艺人,地点,时间,票价,链接
我只在乎你—陈佳2024邓丽君经典金曲七夕专场音乐会,,北京,2024.08.10 周六 19:30,99-999,https://detail.damai.com/item.htm?id=782715849622&clicktitle=我只在乎你—陈佳2024邓丽君经典金曲七夕专场音乐会
永彬Ryan.B「放个大招给你看3.0」2024全国巡演-青岛站,,青岛,2024.06.28 周五 20:00,159-299,https://detail.damai.com/item.htm?id=781626598423&clicktitle=永彬Ryan.B「放个大招给你看3.0」2024全国巡演-青岛站
温拿情不变·说再见Farewell with love演唱会-深圳站,艺人：谭咏麟、钟镇涛、陈友、叶智强、彭健新、温拿乐队,深圳,2024.06.29 周六 19:30,580-1380,https://detail.damai.com/item.htm?id=769699478774&clicktitle=温拿情不变·说再见Farewell with love演唱会-深圳站
KPOPFM天津站千人KPOP派对,,天津,2024.06.22 周六 20:00,88-188,https://detail.damai.com/item.htm?id=785852402363&clicktitle=KPOPFM天津站千人KPOP派对
永彬Ryan.B「放个大招给你看3.0」2024全国巡演-广州站,,广州,2024.06.22 周六 20:00,159-299,https://detail.damai.com/item.htm?id=781655852317&clicktitle=永彬Ryan.B「放个大招给你看3.0」2024全国巡演-广州站
2024萧煌奇「新歌演唱会」（北京站）,艺人：萧煌奇,北京,2024.07.06 周六 20:00,239-439,https://detail.damai.com/item.htm?id=794125407792&clicktitle=2024萧煌奇「新歌演唱会」（北京站）
煮儿果实2024“果乐园“巡回演出,,上海,2024.07.05 周五 20:00,480-680,https://detail.damai.com/item.htm?id=796378789923&clicktitle=煮儿果实2024“果乐园“巡回演出
暗杠「走歌人2024」巡演 苏州站,艺人：暗杠,苏州,2024.07.20 周六 20:00,128-298,https://detail.damai.com/item.htm?id=785550732639&clicktitle=暗杠「走歌人2024」巡演 苏州站
椿回大地-2024椿乐队「椿风夏雨」系列专场 广州站,,广州,2024.06.14 周五 20:00,118-138,https://detail.damai.com/item.htm?id=793378931050&clicktitle=椿回大地-2024椿乐队「椿风夏雨」系列专场 广州站
2024嘉羿「羽·羿」巡演生日见面会,,北京,2024.07.13 周六 20:00,280-680,https://detail.damai.com/item.htm?id=794444803872&clicktitle=2024嘉羿「羽·羿」巡演生日见面会
【天津】LACRIMOSA以泪洗面2024《激情》巡演 天津站,,天津,2024.06.14 周五 20:00,480-980,https://detail.damai.com/item.htm?id=795327947921&clicktitle=【天津】LACRIMOSA以泪洗面2024《激情》巡演 天津站
2024枯木逢春「人间八万里 」巡回演唱会 杭州站,艺人：枯木逢春,杭州,2024.06.15 周六 20:00,158-520,https://detail.damai.com/item.htm?id=775690413818&clicktitle=2024枯木逢春「人间八万里 」巡回演唱会 杭州站
KPOPBOOM西安站｜千人KPOP超级派对,,西安,2024.06.21 周五 20:00,88-188,https://detail.damai.com/item.htm?id=784622786339&clicktitle=KPOPBOOM西安站｜千人KPOP超级派对
「万朵」—春日玫瑰2024新专辑巡演 成都站,艺人：春日玫瑰,成都,2024.07.05 周五 20:00,100-150,https://detail.damai.com/item.htm?id=794263949476&clicktitle=「万朵」—春日玫瑰2024新专辑巡演 成都站
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(天津站）,,天津,2024.08.03 周六 20:00,98-399,https://detail.damai.com/item.htm?id=802992797336&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(天津站）
永彬Ryan.B「放个大招给你看3.0」2024全国巡演-西安站,艺人：永彬Ryan.B,西安,2024.06.29 周六 20:00,159-299,https://detail.damai.com/item.htm?id=781653256530&clicktitle=永彬Ryan.B「放个大招给你看3.0」2024全国巡演-西安站
慕星银「二进制白日梦」巡演·上海站,,上海,2024.06.15 周六 20:00,99,https://detail.damai.com/item.htm?id=796686322858&clicktitle=慕星银「二进制白日梦」巡演·上海站
《致敬BEYOND40年演唱会》,,新乡,2024.07.21 周日 19:30,64-280,https://detail.damai.com/item.htm?id=785567564160&clicktitle=《致敬BEYOND40年演唱会》
【Bad News呈现】西原健一郎 2024 巡演 南京站,艺人：西原健一郎,南京,2024.06.30 周日 20:00,280-460,https://detail.damai.com/item.htm?id=801683658573&clicktitle=【Bad News呈现】西原健一郎 2024 巡演 南京站
【龙王夜游】钢心乐队2024全国巡演 郑州站,,郑州,2024.06.16 周日 20:30,130-160,https://detail.damai.com/item.htm?id=802726311351&clicktitle=【龙王夜游】钢心乐队2024全国巡演 郑州站
【节日特惠】沉浸式【爱笑联盟】三里屯落日音乐会【狂欢live音乐秀】大合唱演出,,北京,2024.06.11-06.23,39-280,https://detail.damai.com/item.htm?id=798129544639&clicktitle=【节日特惠】沉浸式【爱笑联盟】三里屯落日音乐会【狂欢live音乐秀】大合唱演出
王欣宇x张钰「如同密友般的我们」2024联合巡演 上海站,,上海,2024.06.16 周日 20:00,118-268,https://detail.damai.com/item.htm?id=797919830694&clicktitle=王欣宇x张钰「如同密友般的我们」2024联合巡演 上海站
2024萧煌奇「新歌演唱会」（深圳站）,艺人：萧煌奇,深圳,2024.06.29 周六 20:00,239-439,https://detail.damai.com/item.htm?id=792987860772&clicktitle=2024萧煌奇「新歌演唱会」（深圳站）
《极光乐队 》海阔天空—致敬传奇世界巡回演唱会-温州站,,温州,2024.08.24 周六 19:30,88-338,https://detail.damai.com/item.htm?id=799097700368&clicktitle=《极光乐队 》海阔天空—致敬传奇世界巡回演唱会-温州站
「如瓮」 石岩·二〇二四巡演 广州站,,广州,2024.06.15 周六 20:30,99-119,https://detail.damai.com/item.htm?id=797824475469&clicktitle=「如瓮」 石岩·二〇二四巡演 广州站
霉霉新专特辑【TTPD】——Taylor Swift专场｜受尽折磨的诗人部门,,深圳,2024.06.14 周五 20:30,68-188,https://detail.damai.com/item.htm?id=785695043455&clicktitle=霉霉新专特辑【TTPD】——Taylor Swift专场｜受尽折磨的诗人部门
二次元ACG动漫演唱会-遇见未来 济南站,,济南,2024.06.15 周六 19:30,58-380,https://detail.damai.com/item.htm?id=783604021369&clicktitle=二次元ACG动漫演唱会-遇见未来 济南站
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(杭州站）,,杭州,2024.08.17 周六 20:00,98-439,https://detail.damai.com/item.htm?id=802695969532&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(杭州站）
【造音呈现】李雨霏「我只吃晚饭」2024首轮个人巡演 济南站,艺人：李雨霏,济南,2024.06.28 周五 20:00,130-280,https://detail.damai.com/item.htm?id=781244382719&clicktitle=【造音呈现】李雨霏「我只吃晚饭」2024首轮个人巡演 济南站
聲無哀樂 常州专场,,常州,2024.06.14 周五 20:00,120-150,https://detail.damai.com/item.htm?id=803626934660&clicktitle=聲無哀樂 常州专场
Ramster37°2 I love trance东莞有传斯电子音乐节  6月22号周六,,东莞,2024.06.22-06.23,99.99-179.9,https://detail.damai.com/item.htm?id=803430299447&clicktitle=Ramster37°2 I love trance东莞有传斯电子音乐节  6月22号周六
尚士达“莫回头”新专辑分享会,艺人：尚士达,北京,2024.06.30 周日 20:00,128-520,https://detail.damai.com/item.htm?id=788512955831&clicktitle=尚士达“莫回头”新专辑分享会
ALL YOU NEED IS LOVE 致敬披头士乐队演唱会2024年苏州站,,苏州,2024.06.20 周四 19:30,100-480,https://detail.damai.com/item.htm?id=783126239956&clicktitle=ALL YOU NEED IS LOVE 致敬披头士乐队演唱会2024年苏州站
天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 沈阳站,,沈阳,2024.06.28 周五 20:00,180-480,https://detail.damai.com/item.htm?id=783553608933&clicktitle=天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 沈阳站
【龙王夜游】钢心乐队2024巡演 常州站,艺人：钢心,常州,2024.06.15 周六 20:30,130-160,https://detail.damai.com/item.htm?id=797190956950&clicktitle=【龙王夜游】钢心乐队2024巡演 常州站
「盛夏光年」摇滚派对·泉州站,,泉州,2024.06.29 周六 22:30,19.9-158,https://detail.damai.com/item.htm?id=802522605433&clicktitle=「盛夏光年」摇滚派对·泉州站
陈硕子「总有一天会再见」2024巡演 沈阳站,艺人：陈硕子,沈阳,2024.07.05 周五 20:00,100-277,https://detail.damai.com/item.htm?id=796376836537&clicktitle=陈硕子「总有一天会再见」2024巡演 沈阳站
【租场】“永恒乐队”见证港乐·真的爱你流金岁月演唱会,,金华,2024.07.12 周五 19:30,58-288,https://detail.damai.com/item.htm?id=790279118415&clicktitle=【租场】“永恒乐队”见证港乐·真的爱你流金岁月演唱会
《海阔天空》纪念黄家驹31周年金曲演唱会,,天津,2024.06.28 周五 19:30,68-688,https://detail.damai.com/item.htm?id=788540187637&clicktitle=《海阔天空》纪念黄家驹31周年金曲演唱会
海阔天空——黄家驹经典歌曲演唱会,,潍坊,2024.06.30 周日 19:30,80-150,https://detail.damai.com/item.htm?id=804267223846&clicktitle=海阔天空——黄家驹经典歌曲演唱会
光辉岁月——致敬BEYOND金曲演唱会,,上海,2024.07.12 周五 19:30,59-399,https://detail.damai.com/item.htm?id=800268644569&clicktitle=光辉岁月——致敬BEYOND金曲演唱会
630乐团摇滚情歌之夜《真的爱你》《挪威的森林》经典演唱会【齐齐哈尔】,艺人：630乐团,齐齐哈尔,2024.07.21 周日 19:30,90-480,https://detail.damai.com/item.htm?id=790188075457&clicktitle=630乐团摇滚情歌之夜《真的爱你》《挪威的森林》经典演唱会【齐齐哈尔】
昨夜星辰·经典影视金曲演唱会,,沧州,2024.06.21 周五 19:30,80-380,https://detail.damai.com/item.htm?id=797105136845&clicktitle=昨夜星辰·经典影视金曲演唱会
KPOPMASTER济南|BTS十一周年专场派对,,济南,2024.06.23 周日 14:00,88-350,https://detail.damai.com/item.htm?id=787273067757&clicktitle=KPOPMASTER济南|BTS十一周年专场派对
2024 姜大声 DAESUNG FAN DAY TOUR：D’s ROAD IN BANGKOK,艺人：姜大声,曼谷,2024.06.22 周六 19:00,810-1380,https://detail.damai.com/item.htm?id=790217794069&clicktitle=2024 姜大声 DAESUNG FAN DAY TOUR：D’s ROAD IN BANGKOK
【跨越二次元·从国漫到日漫】ACG超燃动漫演唱会—灵魂歌姬Kaga神级现场,,上海,2024.06.27 周四 19:30,80-980,https://detail.damai.com/item.htm?id=790120842470&clicktitle=【跨越二次元·从国漫到日漫】ACG超燃动漫演唱会—灵魂歌姬Kaga神级现场
【神级现场】《冠位时之门：青春回忆时廊》——中华国乐·二次元动漫ACG夏日清凉音乐会,,上海,2024.08.03 周六 15:15,128-358,https://detail.damai.com/item.htm?id=802928174413&clicktitle=【神级现场】《冠位时之门：青春回忆时廊》——中华国乐·二次元动漫ACG夏日清凉音乐会
《纪念家驹·致敬BEYOND·海阔天空》演唱会-驻马店站,,驻马店,2024.06.22 周六 19:30,50-198,https://detail.damai.com/item.htm?id=798676573097&clicktitle=《纪念家驹·致敬BEYOND·海阔天空》演唱会-驻马店站
悲伤玩具2024「至少我们会听同一首歌」巡演 合肥站,,合肥,2024.07.27 周六 20:00,100-120,https://detail.damai.com/item.htm?id=796651111704&clicktitle=悲伤玩具2024「至少我们会听同一首歌」巡演 合肥站
悲伤玩具2024「至少我们会听同一首歌」巡演 上海站,,上海,2024.06.28 周五 20:00,100-120,https://detail.damai.com/item.htm?id=797542856242&clicktitle=悲伤玩具2024「至少我们会听同一首歌」巡演 上海站
2024林晓峰巡回音乐会 想你的「FENG」吹到了顺德站,艺人：林晓峰,佛山,2024.06.15 周六 20:00,288-488,https://detail.damai.com/item.htm?id=786880691068&clicktitle=2024林晓峰巡回音乐会 想你的「FENG」吹到了顺德站
《爱如潮水》上海轻音乐团流行金曲演唱会,,上海,2024.08.24 周六 14:30,80,https://detail.damai.com/item.htm?id=795949504889&clicktitle=《爱如潮水》上海轻音乐团流行金曲演唱会
藤川千爱2024上海演唱会,,上海,2024.07.21 周日 17:00,380-680,https://detail.damai.com/item.htm?id=799603806386&clicktitle=藤川千爱2024上海演唱会
Lollipop—K-Pop主题音乐会,,天津,2024.06.22 周六 20:00,138-256,https://detail.damai.com/item.htm?id=803633766400&clicktitle=Lollipop—K-Pop主题音乐会
2024艾怡良「不想忘记的名字们」巡演厦门站,艺人：艾怡良,厦门,2024.07.12 周五 20:00,239-439,https://detail.damai.com/item.htm?id=777747816100&clicktitle=2024艾怡良「不想忘记的名字们」巡演厦门站
SCANDAL TOUR 2024 “LUMINOUS” 广州站,艺人：Scandal,广州,2024.06.11 周二 20:00,480-680,https://detail.damai.com/item.htm?id=785028998169&clicktitle=SCANDAL TOUR 2024 “LUMINOUS” 广州站
2024萧煌奇「新歌演唱会」（厦门站）,艺人：萧煌奇,厦门,2024.06.30 周日 20:00,239-439,https://detail.damai.com/item.htm?id=794181363642&clicktitle=2024萧煌奇「新歌演唱会」（厦门站）
6.14｜KPOP TIME「BTS出道11周年专场」#酒水畅饮,,成都,2024.06.14 周五 18:00,69-169,https://detail.damai.com/item.htm?id=802859131724&clicktitle=6.14｜KPOP TIME「BTS出道11周年专场」#酒水畅饮
「千万亿个梦」贰佰2024新专辑巡演 第二轮 银川站,,银川,2024.08.16 周五 20:00,150-180,https://detail.damai.com/item.htm?id=798825012363&clicktitle=「千万亿个梦」贰佰2024新专辑巡演 第二轮 银川站
《忱宴·渐渐被你吸引》热血动漫二次元ACG演唱会,,上海,2024.07.14 周日 19:30,60-380,https://detail.damai.com/item.htm?id=789304126441&clicktitle=《忱宴·渐渐被你吸引》热血动漫二次元ACG演唱会
【BIGBANG】 | KPOP巅峰派对——权志龙0818生日快乐,,上海,2024.08.17 周六 20:30,68-188,https://detail.damai.com/item.htm?id=802521893987&clicktitle=【BIGBANG】 | KPOP巅峰派对——权志龙0818生日快乐
超燃ACG动漫演唱会-二次元遇见未来,,天津,2024.06.16 周日 19:30,50-480,https://detail.damai.com/item.htm?id=778052176166&clicktitle=超燃ACG动漫演唱会-二次元遇见未来
赵紫骅「可乐II」2024全国巡演 天津站,艺人：赵紫骅,天津,2024.07.12 周五 20:00,128-228,https://detail.damai.com/item.htm?id=775719611938&clicktitle=赵紫骅「可乐II」2024全国巡演 天津站
慕星银「二进制白日梦」巡演·杭州站,,杭州,2024.06.14 周五 20:00,99,https://detail.damai.com/item.htm?id=799368572215&clicktitle=慕星银「二进制白日梦」巡演·杭州站
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(泉州站）,,泉州,2024.07.13 周六 20:00,98-399,https://detail.damai.com/item.htm?id=795782667238&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(泉州站）
《海阔天空—致敬Beyond金曲演唱会》,,北京,2024.06.19 周三 19:30,58-750,https://detail.damai.com/item.htm?id=776185671044&clicktitle=《海阔天空—致敬Beyond金曲演唱会》
南拳妈妈我回来了巡回演唱会泉州站,,泉州,2024.06.16 周日 19:30,299-599,https://detail.damai.com/item.htm?id=778056883977&clicktitle=南拳妈妈我回来了巡回演唱会泉州站
KPOPBOOM重庆站｜千人KPOP超级派对,,重庆,2024.07.07 周日 20:00,88-188,https://detail.damai.com/item.htm?id=804824093493&clicktitle=KPOPBOOM重庆站｜千人KPOP超级派对
TaylorSwift TTPD新专粉丝派对（北京站）@用爱发电大队,,北京,2024.06.14 周五 20:00,98-180,https://detail.damai.com/item.htm?id=794576389587&clicktitle=TaylorSwift TTPD新专粉丝派对（北京站）@用爱发电大队
逐漫旋律——二次元专场演唱会,,广州,2024.06.15 周六 19:30,88-188,https://detail.damai.com/item.htm?id=798196076442&clicktitle=逐漫旋律——二次元专场演唱会
夏日狂欢电音节-无锡站,,无锡,2024.06.29 周六 14:00,59.9-1298,https://detail.damai.com/item.htm?id=803996974620&clicktitle=夏日狂欢电音节-无锡站
沙宝亮 2024┗五二┛剧院巡演,艺人：沙宝亮,聊城,2024.06.30 周日 19:30,100-380,https://detail.damai.com/item.htm?id=787626594835&clicktitle=沙宝亮 2024┗五二┛剧院巡演
「麻油叶西南分叶」尧十三&张尧 民谣联合专场,,重庆,2024.06.15 周六 20:00,129-159,https://detail.damai.com/item.htm?id=794421819689&clicktitle=「麻油叶西南分叶」尧十三&张尧 民谣联合专场
永恒乐队——追忆家驹致敬BEYOND Unplugged不插电演唱会,,石家庄,2024.08.25 周日 19:30,58-318,https://detail.damai.com/item.htm?id=803809716223&clicktitle=永恒乐队——追忆家驹致敬BEYOND Unplugged不插电演唱会
行走的声音——龚琳娜国风音乐会,艺人：龚琳娜,哈尔滨,2024.08.23 周五 19:00,80-880,https://detail.damai.com/item.htm?id=774199656076&clicktitle=行走的声音——龚琳娜国风音乐会
SCANDAL TOUR 2024 “LUMINOUS” 上海站,艺人：Scandal,上海,2024.06.13 周四 20:00,480-680,https://detail.damai.com/item.htm?id=785043555057&clicktitle=SCANDAL TOUR 2024 “LUMINOUS” 上海站
四喜丸子「首张同名EP」巡演2024-重庆站,艺人：四喜丸子,重庆,2024.06.30 周日 19:30,98-208,https://detail.damai.com/item.htm?id=797217861174&clicktitle=四喜丸子「首张同名EP」巡演2024-重庆站
怪兽计划乐队『请瞄准我的心脏』2024巡演 常州站,艺人：怪兽计划乐队,常州,2024.06.23 周日 20:00,68-88,https://detail.damai.com/item.htm?id=800227230666&clicktitle=怪兽计划乐队『请瞄准我的心脏』2024巡演 常州站
“张嘴就来2024”BEATBOX巡演-长沙站,艺人：BEATBOX 张泽,长沙,2024.08.09 周五 20:00,158-258,https://detail.damai.com/item.htm?id=798815252672&clicktitle=“张嘴就来2024”BEATBOX巡演-长沙站
张泽「张嘴就来2024」BEATBOX巡演（郑州站）BBOX,艺人：BEATBOX 张泽,郑州,2024.07.26 周五 20:00,158-888,https://detail.damai.com/item.htm?id=797848301493&clicktitle=张泽「张嘴就来2024」BEATBOX巡演（郑州站）BBOX
北京 | 6.12-13 「Sparkling Gem」95后爵士精灵Andrea Motis音乐会,,北京,2024.06.12-06.13,320,https://detail.damai.com/item.htm?id=799107043865&clicktitle=北京 | 6.12-13 「Sparkling Gem」95后爵士精灵Andrea Motis音乐会
DON DIABLO世界巡演「CATAPULT」(宁波站),,宁波,2024.06.15-06.16,150,https://detail.damai.com/item.htm?id=803902323228&clicktitle=DON DIABLO世界巡演「CATAPULT」(宁波站)
【JZ Club爵士舞会日】Juke Joint Blues,,上海,2024.06.13 周四 20:30,1,https://detail.damai.com/item.htm?id=803707336282&clicktitle=【JZ Club爵士舞会日】Juke Joint Blues
致敬传奇《海阔天空》BEYOND经典金曲演唱会【合作演出】,,河源,2024.07.26 周五 19:30,90-280,https://detail.damai.com/item.htm?id=799564366409&clicktitle=致敬传奇《海阔天空》BEYOND经典金曲演唱会【合作演出】
LikeKpop「BTS十一周年专场Army派对」北京站,,北京,2024.06.28 周五 19:30,77-377,https://detail.damai.com/item.htm?id=801799609594&clicktitle=LikeKpop「BTS十一周年专场Army派对」北京站
【挪威的森林】起航乐队魔性情歌之夜演唱会--伍迷、小齐的经典歌曲|从“突然的自我”听到“伤心太平洋”,,南昌,2024.06.29 周六 20:00,108-328,https://detail.damai.com/item.htm?id=792347777887&clicktitle=【挪威的森林】起航乐队魔性情歌之夜演唱会--伍迷、小齐的经典歌曲|从“突然的自我”听到“伤心太平洋”
《挪威的森林》摇滚之夜演唱会 -630乐队经典演绎，再现音乐巅峰,,上海,2024.07.13 周六 19:30,78-380,https://detail.damai.com/item.htm?id=802814165862&clicktitle=《挪威的森林》摇滚之夜演唱会 -630乐队经典演绎，再现音乐巅峰
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(武汉站）,,武汉,2024.07.19 周五 20:00,98-599,https://detail.damai.com/item.htm?id=798422049924&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(武汉站）
暗杠「走歌人2024」巡演 太原站,艺人：暗杠,太原,2024.07.06 周六 20:00,128-298,https://detail.damai.com/item.htm?id=781968370784&clicktitle=暗杠「走歌人2024」巡演 太原站
「千万亿个梦」贰佰2024新专辑巡演 第二轮 南京站,艺人：贰佰,南京,2024.09.01 周日 20:00,150-180,https://detail.damai.com/item.htm?id=797824963022&clicktitle=「千万亿个梦」贰佰2024新专辑巡演 第二轮 南京站
巫启贤红尘来去梦太傻2024全国巡回演唱会西安站,艺人：巫启贤,西安,2024.07.14 周日 19:30,100-1280,https://detail.damai.com/item.htm?id=775300271390&clicktitle=巫启贤红尘来去梦太傻2024全国巡回演唱会西安站
《ALL YOU NEED IS LOVE 致敬披头士乐队演唱会》,,上海,2024.06.16 周日 19:30,80-380,https://detail.damai.com/item.htm?id=788420167206&clicktitle=《ALL YOU NEED IS LOVE 致敬披头士乐队演唱会》
《再见理想》纪念黄家驹作品音乐会,,武汉,2024.06.29-06.30,49-120,https://detail.damai.com/item.htm?id=803194435957&clicktitle=《再见理想》纪念黄家驹作品音乐会
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(济南站）,,济南,2024.07.06 周六 20:00,98-599,https://detail.damai.com/item.htm?id=795981177062&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(济南站）
【秀动呈献】白鲨JAWS「Ready4theJAWS」巡演第三章 郑州站,艺人：白鲨JAWS乐队,郑州,2024.06.14 周五 20:00,99-120,https://detail.damai.com/item.htm?id=795163122578&clicktitle=【秀动呈献】白鲨JAWS「Ready4theJAWS」巡演第三章 郑州站
大笨、明慧、邓岳章三人行DDM巡回演唱会佛山站,艺人：大笨、明慧、邓岳章,佛山,2024.06.15 周六 19:00,98-388,https://detail.damai.com/item.htm?id=792905073853&clicktitle=大笨、明慧、邓岳章三人行DDM巡回演唱会佛山站
（合作）极光乐队—延续·和平与爱致敬 BEYOND 40年巡回演唱会（大剧场）,,重庆,2024.06.14 周五 19:30,100-380,https://detail.damai.com/item.htm?id=786951777755&clicktitle=（合作）极光乐队—延续·和平与爱致敬 BEYOND 40年巡回演唱会（大剧场）
永彬Ryan.B「放个大招给你看3.0」2024全国巡演-武汉站,,武汉,2024.06.16 周日 20:00,159-299,https://detail.damai.com/item.htm?id=781700300091&clicktitle=永彬Ryan.B「放个大招给你看3.0」2024全国巡演-武汉站
莉莉周她说+孔雀眼 | 旺来大排档杭州站,,杭州,2024.07.07 周日 20:00,138-258,https://detail.damai.com/item.htm?id=793643048691&clicktitle=莉莉周她说+孔雀眼 | 旺来大排档杭州站
Zkaaai-2024巡演沈阳站,艺人：zkaaai,沈阳,2024.07.26 周五 20:00,128-268,https://detail.damai.com/item.htm?id=802542543463&clicktitle=Zkaaai-2024巡演沈阳站
刘莉旻「下一站，嘉禾望岗」2024全国巡演 深圳站,艺人：刘莉旻,深圳,2024.06.14 周五 20:00,120-266,https://detail.damai.com/item.htm?id=785827374074&clicktitle=刘莉旻「下一站，嘉禾望岗」2024全国巡演 深圳站
动物园钉子户「出发！浅滩公路疾行」2024巡演 乌鲁木齐站,艺人：动物园钉子户,乌鲁木齐,2024.07.17 周三 21:30,100-120,https://detail.damai.com/item.htm?id=794688621080&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 乌鲁木齐站
[杭州首演]自然国风亲子音乐会《你听，大自然的声音》,,杭州,2024.07.12-07.14,180-230,https://detail.damai.com/item.htm?id=779236876298&clicktitle=[杭州首演]自然国风亲子音乐会《你听，大自然的声音》
LikeKpop「SEVENTEEN」专场 克拉派对,,南昌,2024.06.22 周六 19:30,80-380,https://detail.damai.com/item.htm?id=785060095409&clicktitle=LikeKpop「SEVENTEEN」专场 克拉派对
《纪念家驹·致敬BEYOND·海阔天空》演唱会-湘潭站,,湘潭,2024.06.14 周五 19:30,50-198,https://detail.damai.com/item.htm?id=794389507818&clicktitle=《纪念家驹·致敬BEYOND·海阔天空》演唱会-湘潭站
【秀动呈献】白鲨JAWS「Ready4theJAWS」巡演第三章 杭州站,艺人：白鲨JAWS乐队,杭州,2024.07.21 周日 19:00,99-120,https://detail.damai.com/item.htm?id=795286312103&clicktitle=【秀动呈献】白鲨JAWS「Ready4theJAWS」巡演第三章 杭州站
暗杠「走歌人2024」巡演 石家庄站,,石家庄,2024.07.05 周五 20:00,128-298,https://detail.damai.com/item.htm?id=794513458420&clicktitle=暗杠「走歌人2024」巡演 石家庄站
保利城市岛屿音乐季：《许飞2024“生活不必太用力”巡回演出》武汉站,艺人：许飞,武汉,2024.07.05 周五 19:30,80-580,https://detail.damai.com/item.htm?id=775690887579&clicktitle=保利城市岛屿音乐季：《许飞2024“生活不必太用力”巡回演出》武汉站
昨日的聚会——惘闻25周年 巡演 西安站,艺人：惘闻乐队,西安,2024.06.30 周日 20:00,160-220,https://detail.damai.com/item.htm?id=802460301820&clicktitle=昨日的聚会——惘闻25周年 巡演 西安站
南拳妈妈「我回来了」2024巡回演唱会珠海站,,珠海,2024.06.21 周五 20:00,299-659,https://detail.damai.com/item.htm?id=778155734021&clicktitle=南拳妈妈「我回来了」2024巡回演唱会珠海站
椿回大地-2024椿乐队「椿风夏雨」系列专场 佛山顺德站,,佛山,2024.06.16 周日 16:30,118-138,https://detail.damai.com/item.htm?id=793432178953&clicktitle=椿回大地-2024椿乐队「椿风夏雨」系列专场 佛山顺德站
大型音乐表演秀《诗国·神游篇》,,滨州,2024.07.27 周六 19:30,20-80,https://detail.damai.com/item.htm?id=801508393445&clicktitle=大型音乐表演秀《诗国·神游篇》
慕星银「二进制白日梦」巡演·重庆站,,重庆,2024.06.22 周六 20:00,99,https://detail.damai.com/item.htm?id=796152835878&clicktitle=慕星银「二进制白日梦」巡演·重庆站
四喜丸子「首张同名EP」巡演2024-成都站,,成都,2024.06.29 周六 20:30,98-208,https://detail.damai.com/item.htm?id=797255500319&clicktitle=四喜丸子「首张同名EP」巡演2024-成都站
Melo墨龙「LIFE IS A MOVIE人生如戏巡演」重庆站,,重庆,2024.06.14 周五 20:00,228-398,https://detail.damai.com/item.htm?id=783610156316&clicktitle=Melo墨龙「LIFE IS A MOVIE人生如戏巡演」重庆站
LikeKpop「BTS专场十一周年Army派对」青岛站,,青岛,2024.07.12 周五 19:30,77-377,https://detail.damai.com/item.htm?id=798817812015&clicktitle=LikeKpop「BTS专场十一周年Army派对」青岛站
Groove Coverage舞动精灵乐团2024中国巡演-北京站,艺人：舞动精灵乐团 （Groove Coverage）,北京,2024.07.13 周六 20:00,280-680,https://detail.damai.com/item.htm?id=781997715213&clicktitle=Groove Coverage舞动精灵乐团2024中国巡演-北京站
630乐团摇滚情歌之夜《真的爱你》《挪威的森林》经典演唱会,,本溪,2024.07.20 周六 19:30,50-480,https://detail.damai.com/item.htm?id=794515650999&clicktitle=630乐团摇滚情歌之夜《真的爱你》《挪威的森林》经典演唱会
《燃爆DNA——日本动漫原声金曲超燃演唱会》,,北京,2024.08.09 周五 19:30,100-700,https://detail.damai.com/item.htm?id=777813108250&clicktitle=《燃爆DNA——日本动漫原声金曲超燃演唱会》
北京 | 6.16  BNCJO父亲节特别企划：Song for My Father,,北京,2024.06.16 周日 20:00,360-880,https://detail.damai.com/item.htm?id=801397638046&clicktitle=北京 | 6.16  BNCJO父亲节特别企划：Song for My Father
扭曲机器2024复兴之路天津琉璃space专场演出,,天津,2024.06.22 周六 20:30,150,https://detail.damai.com/item.htm?id=798210679259&clicktitle=扭曲机器2024复兴之路天津琉璃space专场演出
VYAN《群众演员的自我修养》巡回演出2024 深圳站,,深圳,2024.06.29 周六 20:00,159,https://detail.damai.com/item.htm?id=801591352201&clicktitle=VYAN《群众演员的自我修养》巡回演出2024 深圳站
【哈尔滨】再见理想·致敬BEYOND 怀念家驹演唱会,艺人：梵想乐团,哈尔滨,2024.07.06 周六 20:00,68-580,https://detail.damai.com/item.htm?id=799192319717&clicktitle=【哈尔滨】再见理想·致敬BEYOND 怀念家驹演唱会
墨明棋妙2024年线下巡演-西安站“万有引力向古风”,,西安,2024.08.03 周六 19:30,299-399,https://detail.damai.com/item.htm?id=779602922315&clicktitle=墨明棋妙2024年线下巡演-西安站“万有引力向古风”
